won,frame,person,file,x,y,w,h
WON02443785,5695,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5695.png,967,143,292,397
WON02443785,5223,data/facedb2/omtzigt__WON02443711__2096.png,data/frames/WON02443785/WON02443785__5223.png,598,148,278,366
WON02443785,4435,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02443785/WON02443785__4435.png,866,180,260,389
WON02443785,3661,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3661.png,819,189,251,365
WON02443785,4631,data/facedb2/vanderplas__WON02441460__2731.png,data/frames/WON02443785/WON02443785__4631.png,642,140,268,370
WON02443785,1359,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1359.png,639,146,274,365
WON02443785,410,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__410.png,636,172,236,336
WON02443785,4605,data/facedb2/vanderplas__WON02443711__2897.png,data/frames/WON02443785/WON02443785__4605.png,730,209,273,370
WON02443785,827,data/facedb2/wilders__WON02443711__797.png,data/frames/WON02443785/WON02443785__827.png,943,160,256,357
WON02443785,2049,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__2049.png,645,168,267,352
WON02443785,1927,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__1927.png,900,143,278,406
WON02443785,4534,data/facedb2/bontenbal__WON02441946__2851.png,data/frames/WON02443785/WON02443785__4534.png,1339,172,278,365
WON02443785,790,data/facedb2/yesilguz__WON02443711__2788.png,data/frames/WON02443785/WON02443785__790.png,1069,143,243,362
WON02443785,2350,data/facedb2/timmermans__WON02443711__1695.png,data/frames/WON02443785/WON02443785__2350.png,839,74,289,401
WON02443785,5442,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__5442.png,794,212,279,373
WON02443785,1492,data/facedb2/marijnissen__WON02441946__1273.png,data/frames/WON02443785/WON02443785__1492.png,884,102,249,378
WON02443785,1834,data/facedb2/omtzigt__WON02443711__255.png,data/frames/WON02443785/WON02443785__1834.png,993,161,267,363
WON02443785,5532,data/facedb2/timmermans__WON02443711__1674.png,data/frames/WON02443785/WON02443785__5532.png,632,87,316,421
WON02443785,3777,data/facedb2/marijnissen__WON02441946__1263.png,data/frames/WON02443785/WON02443785__3777.png,989,133,249,417
WON02443785,2645,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__2645.png,1020,147,250,377
WON02443785,2835,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__2835.png,749,200,290,404
WON02443785,4426,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__4426.png,831,176,276,355
WON02443785,5534,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__5534.png,1218,184,247,367
WON02443785,3827,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3827.png,1120,201,284,421
WON02443785,3572,data/facedb2/wilders__WON02441946__482.png,data/frames/WON02443785/WON02443785__3572.png,1003,174,256,358
WON02443785,1518,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1518.png,668,141,269,362
WON02443785,3273,data/facedb2/jetten__WON02439060__909.png,data/frames/WON02443785/WON02443785__3273.png,1035,159,239,358
WON02443785,5601,data/facedb2/timmermans__WON02443711__2223.png,data/frames/WON02443785/WON02443785__5601.png,800,84,310,442
WON02443785,1430,data/facedb2/bontenbal__WON02441946__2851.png,data/frames/WON02443785/WON02443785__1430.png,611,144,255,321
WON02443785,2975,data/facedb2/vanderplas__WON02443711__1835.png,data/frames/WON02443785/WON02443785__2975.png,907,163,239,340
WON02443785,3689,data/facedb2/wilders__WON02443711__1737.png,data/frames/WON02443785/WON02443785__3689.png,1174,173,240,349
WON02443785,1355,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1355.png,672,143,273,354
WON02443785,2717,data/facedb2/timmermans__WON02443711__2623.png,data/frames/WON02443785/WON02443785__2717.png,897,142,290,420
WON02443785,452,data/facedb2/wilders__WON02443711__797.png,data/frames/WON02443785/WON02443785__452.png,583,154,239,327
WON02443785,4964,data/facedb2/yesilguz__WON02443711__2952.png,data/frames/WON02443785/WON02443785__4964.png,719,167,233,333
WON02443785,1883,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1883.png,1330,221,288,367
WON02443785,5612,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__5612.png,1024,173,252,369
WON02443785,5035,data/facedb2/omtzigt__WON02443711__628.png,data/frames/WON02443785/WON02443785__5035.png,987,170,247,356
WON02443785,5225,data/facedb2/yesilguz__WON02443711__1967.png,data/frames/WON02443785/WON02443785__5225.png,667,154,218,359
WON02443785,2087,data/facedb2/marijnissen__WON02439236__744.png,data/frames/WON02443785/WON02443785__2087.png,922,137,256,368
WON02443785,1842,data/facedb2/omtzigt__WON02441460__2019.png,data/frames/WON02443785/WON02443785__1842.png,1048,179,269,361
WON02443785,5182,data/facedb2/timmermans__WON02443711__2398.png,data/frames/WON02443785/WON02443785__5182.png,856,121,295,423
WON02443785,5351,data/facedb2/yesilguz__WON02443711__2792.png,data/frames/WON02443785/WON02443785__5351.png,824,136,232,354
WON02443785,2112,data/facedb2/marijnissen__WON02441946__1273.png,data/frames/WON02443785/WON02443785__2112.png,934,143,251,367
WON02443785,2783,data/facedb2/vanderplas__WON02443711__986.png,data/frames/WON02443785/WON02443785__2783.png,882,204,259,365
